Costs;Peak Load;id of the run;Thermal Discomfort
871.31;151.62;63;0.17
871.37;149.96;66;0.18
871.43;149.56;10;0.17
872.09;149.49;64;0.17
872.32;149;33;0.17
890.95;129.55;2;0.17
873.72;165.11;100;0.2
890.95;129.55;101;0.17
872.66;141.97;102;0.17
872.91;154.44;103;0.19
873.17;159.15;104;0.19
873.75;161.66;105;0.19
872.53;154.54;106;0.18
872.26;149.21;107;0.19
877.61;134.14;108;0.17
875.8;138.85;109;0.17
876.07;138.62;110;0.18
877.05;136.19;111;0.18
876.47;134.19;112;0.16
875.94;134.31;113;0.17
890.8;129.54;114;0.15
881.93;132.3;115;0.17
877.37;134.24;116;0.16
888.96;129.71;117;0.16
879.92;132.36;118;0.16
876.83;133.87;119;0.18
881.35;132.3;120;0.16
872.74;149.24;121;0.18
874.03;140.7;122;0.16
876.1;134.91;123;0.16
875.66;137.25;124;0.17
876.59;135.2;125;0.18
880.43;132.24;126;0.17
876.84;133.9;127;0.18
878.35;133.8;128;0.15
875.96;139.43;129;0.17
876.55;138.84;130;0.18
873.6;141.61;131;0.17
878.61;133.97;132;0.18
878.08;133.76;133;0.17
874.39;144.22;134;0.17
875.79;139.25;135;0.18
876.32;138.41;136;0.18
872.25;146.56;137;0.18
873.49;145.96;138;0.17
872.51;146.78;139;0.18
872;153.11;140;0.19
885.23;130.96;141;0.17
886.31;131.06;142;0.16
882.61;132.04;143;0.16
884.38;130.86;144;0.16
884.68;130.94;145;0.15
885.97;130.82;146;0.17
883.24;131.49;147;0.16
