id of the run;Costs;Peak Load;Thermal Discomfort
1;526.98;134.03;0.17
2;539.91;125.82;0.16
3;530.07;126.65;0.2
4;528.58;122.07;0.17
5;527.2;129.21;0.18
6;524.06;174.56;0.19
7;524.52;162.5;0.17
8;526.46;138.49;0.18
9;529.84;125.85;0.17
10;529.59;122.07;0.2
11;523.45;223.1;0.17
12;524.41;163.44;0.18
13;523.87;181.63;0.17
14;524.04;174.9;0.17
15;540.0;125.87;0.15
16;536.68;128.06;0.15
17;533.23;127.76;0.16
18;537.36;128.81;0.16
19;530.77;123.65;0.17
20;539.83;125.77;0.14
21;523.45;223.1;0.17
22;527.66;127.3;0.18
23;529.92;128.29;0.18
24;529.03;126.05;0.18
25;533.57;127.9;0.17
26;535.94;130.66;0.14
27;538.26;127.92;0.15
28;533.34;126.14;0.16
