id of the run;Costs;Peak Load;Thermal Discomfort;Combined Score
85;[-5.13];[148.99];[0.1];[-4.28993342]
87;[0.06];[145.51];[0.12];[1.03725452]
89;[-45.09];[193.04];[0.26];[-45.19052884]
91;[-45.16];[194.73];[0.24];[-45.2513652]
92;[-45.74];[194.91];[0.23];[-45.84809674]
94;[-22.93];[156.19];[0.14];[-22.59218504]
95;[-22.92];[154.62];[0.15];[-22.59239997]
97;[-23.66];[156.46];[0.14];[-23.34295247]
62;-46.11;198.54;0.27;-46.20520702175328
63;-47.37;198.77;0.26;-47.50263433228798
67;-25.32;168.55;0.16;-24.973249640992755
70;-24.94;168.24;0.15;-24.58357509021828
74;-58.16;201.29;0.29;-58.60945332767583
81;-53.28;199.31;0.28;-53.59179804926727
22;-42.63;179.47;0.24;-42.745410304855554
